PrimaryDI|gmdnPTName|gmdnPTDefinition
10887714024822|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024815|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024808|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024792|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024785|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024778|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024761|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024754|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024747|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024730|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024723|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024716|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024709|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024693|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024686|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024679|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024662|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024655|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024648|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024631|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024624|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024617|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024600|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024594|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024587|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024570|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024563|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024556|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
10887714024549|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00811806011530|Cardiac sizing catheter|A sterile flexible tube with an inflatable balloon at the distal end designed for use in a patient with a cardiovascular defect wherein accurate measurement of the defect is important to select the appropriately sized occlusion device. It is typically designed to pass over a guidewire and it will have radiopaque marker bands along it distal end to assist in placement using fluoroscopy. It is made of plastic materials and metal [e, g, platinum (Pt) for the bands] and is available in a variety of designs and sizes. This is a single-use device.
00811806011523|Cardiac sizing catheter|A sterile flexible tube with an inflatable balloon at the distal end designed for use in a patient with a cardiovascular defect wherein accurate measurement of the defect is important to select the appropriately sized occlusion device. It is typically designed to pass over a guidewire and it will have radiopaque marker bands along it distal end to assist in placement using fluoroscopy. It is made of plastic materials and metal [e, g, platinum (Pt) for the bands] and is available in a variety of designs and sizes. This is a single-use device.
00811806011516|Cardiac sizing catheter|A sterile flexible tube with an inflatable balloon at the distal end designed for use in a patient with a cardiovascular defect wherein accurate measurement of the defect is important to select the appropriately sized occlusion device. It is typically designed to pass over a guidewire and it will have radiopaque marker bands along it distal end to assist in placement using fluoroscopy. It is made of plastic materials and metal [e, g, platinum (Pt) for the bands] and is available in a variety of designs and sizes. This is a single-use device.
M465ACX10106|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
08714729402428|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
08714729402404|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
08714729402381|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
08714729402367|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
08714729402350|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
00849111030014|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
B380T39F150|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B380T38F150|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B380T311F300|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B380NL9IRR30D0|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
B380NL12IRR30D0|Intravascular occluding balloon catheter, image-guided|A flexible tube with an inflatable balloon(s) at the distal end intended to be introduced short-term under image guidance to temporarily block a blood vessel. It may be used for arteriography, selective angiography, preoperative occlusion, peripheral and intracranial vasculature occlusion, emergency control of haemorrhage, to treat malformations (e.g., aneurysms), chemotherapeutic drug infusion, and renal opacification procedures. It may have a dual- or multi-lumen design, one for balloon inflation and another to pass it over a guidewire, or for the infusion of contrast medium, delivery of a smaller catheter, or embolic agents. This is a single-use device.
B3809FCESB150|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3809FCES150|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3809FCBS4004020|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3809FCBS4004010|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3809FCBS1001020|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3809FCBS1001010|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCESB300|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCESB150|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCES300|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCES150|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCBS4004020|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCBS4004010|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCBS1001020|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
B3808FCBS1001010|Carotid artery shunt|A sterile device designed to serve as a temporary blood conduit (a shunt) connecting the distal internal carotid artery to the proximal common carotid artery allowing intravascular blood to continuously flow to the patient's brain during an endarterectomy procedure. It is typically designed as a hollow shaft with atraumatic dilations (e.g., balloons) on either end. The shaft is inserted into the lumen of the blood vessel, via a small incision at the surgical site. It is typically made of silicone elastomer and polyester radiopaque materials and is available in a range of diameters. This is a single-use device.
